x y Re(psi) Im(psi)
-8.000000000000000000e+00 -8.000000000000000000e+00 -8.419373489340612371e-05 3.086595050452348274e-04
-7.874015748031496287e+00 -8.000000000000000000e+00 6.588256038939338099e-05 2.385092504720680024e-04
-7.748031496062992574e+00 -8.000000000000000000e+00 2.157599684598390897e-04 1.692805554600449087e-04
-7.622047244094487972e+00 -8.000000000000000000e+00 3.654033009354350843e-04 1.009851542943276091e-04
-7.496062992125984259e+00 -8.000000000000000000e+00 5.147669843560770614e-04 3.364132685086648663e-05
-7.370078740157480546e+00 -8.000000000000000000e+00 6.637941262922395728e-04 -3.272662289819610850e-05
-7.244094488188975944e+00 -8.000000000000000000e+00 8.124148568965431066e-04 -9.808727368735920482e-05
-7.118110236220472231e+00 -8.000000000000000000e+00 9.605450790695708096e-04 -1.624018234147131014e-04
-6.992125984251968518e+00 -8.000000000000000000e+00 1.108085090595611064e-03 -2.256234028537794606e-04
-6.866141732283464805e+00 -8.000000000000000000e+00 1.254918416076912990e-03 -2.876967615533168729e-04
-6.740157480314961091e+00 -8.000000000000000000e+00 1.400910630381929818e-03 -3.485577729583809394e-04
-6.614173228346456490e+00 -8.000000000000000000e+00 1.545908348538292979e-03 -4.081331764635668801e-04
-6.488188976377952777e+00 -8.000000000000000000e+00 1.689738266715240479e-03 -4.663402394893349226e-04
-6.362204724409449064e+00 -8.000000000000000000e+00 1.832206365324741664e-03 -5.230866025690267653e-04
-6.236220472440944462e+00 -8.000000000000000000e+00 1.973097206846604560e-03 -5.782701008709597830e-04
-6.110236220472440749e+00 -8.000000000000000000e+00 2.112173407590981107e-03 -6.317787461951517242e-04
-5.984251968503937036e+00 -8.000000000000000000e+00 2.249175242701448741e-03 -6.834907233310516615e-04
-5.858267716535433323e+00 -8.000000000000000000e+00 2.383820445191755892e-03 -7.332745390595776964e-04
-5.732283464566929609e+00 -8.000000000000000000e+00 2.515804174725654475e-03 -7.809892140399923811e-04
-5.606299212598425008e+00 -8.000000000000000000e+00 2.644799204754386818e-03 -8.264846268873455790e-04
-5.480314960629921295e+00 -8.000000000000000000e+00 2.770456314220084114e-03 -8.696019236921324501e-04
-5.354330708661417582e+00 -8.000000000000000000e+00 2.892404923152939403e-03 -9.101740825908323160e-04
-5.228346456692912980e+00 -8.000000000000000000e+00 3.010253964926299080e-03 -9.480265614303185016e-04
-5.102362204724409267e+00 -8.000000000000000000e+00 3.123593026277430781e-03 -9.829781038732871620e-04
-4.976377952755905554e+00 -8.000000000000000000e+00 3.231993751413431322e-03 -1.014841641224912194e-03
-4.850393700787401841e+00 -8.000000000000000000e+00 3.335011533042386844e-03 -1.043425354370562576e-03
-4.724409448818898127e+00 -8.000000000000000000e+00 3.432187487693553248e-03 -1.068533838273812760e-03
-4.598425196850393526e+00 -8.000000000000000000e+00 3.523050729128125291e-03 -1.089969424545103810e-03
-4.472440944881889813e+00 -8.000000000000000000e+00 3.607120936048079443e-03 -1.107533606512839906e-03
-4.346456692913386100e+00 -8.000000000000000000e+00 3.683911217630508883e-03 -1.121028614818872721e-03
-4.220472440944881498e+00 -8.000000000000000000e+00 3.752931270030926154e-03 -1.130259087335436837e-03
-4.094488188976377785e+00 -8.000000000000000000e+00 3.813690815619524398e-03 -1.135033875008875388e-03
-3.968503937007874072e+00 -8.000000000000000000e+00 3.865703313500888725e-03 -1.135167924580317116e-03
-3.842519685039370358e+00 -8.000000000000000000e+00 3.908489919773472029e-03 -1.130484274416953747e-03
-3.716535433070866645e+00 -8.000000000000000000e+00 3.941583680505659007e-03 -1.120816099666860875e-03
-3.590551181102362044e+00 -8.000000000000000000e+00 3.964533921165397552e-03 -1.106008838874168818e-03
-3.464566929133858331e+00 -8.000000000000000000e+00 3.976910809709415136e-03 -1.085922331908326577e-03
-3.338582677165354617e+00 -8.000000000000000000e+00 3.978310041237448878e-03 -1.060432999005226241e-03
-3.212598425196850016e+00 -8.000000000000000000e+00 3.968357616517492921e-03 -1.029435982992464105e-03
-3.086614173228346303e+00 -8.000000000000000000e+00 3.946714645758704794e-03 -9.928472846625897678e-04
-2.960629921259842590e+00 -8.000000000000000000e+00 3.913082147299211909e-03 -9.506058042310164009e-04
-2.834645669291338876e+00 -8.000000000000000000e+00 3.867205755779828773e-03 -9.026753225609109510e-04
-2.708661417322835163e+00 -8.000000000000000000e+00 3.808880310851591160e-03 -8.490463244104737468e-04
-2.582677165354330562e+00 -8.000000000000000000e+00 3.737954224139836829e-03 -7.897377060836647264e-04
-2.456692913385826849e+00 -8.000000000000000000e+00 3.654333603102854610e-03 -7.247982568300724224e-04
-2.330708661417323135e+00 -8.000000000000000000e+00 3.557986012349217964e-03 -6.543079720455867313e-04
-2.204724409448818534e+00 -8.000000000000000000e+00 3.448943867645408966e-03 -5.783790709052906041e-04
-2.078740157480314821e+00 -8.000000000000000000e+00 3.327307324391252843e-03 -4.971568020736160829e-04
-1.952755905511811108e+00 -8.000000000000000000e+00 3.193246685211756537e-03 -4.108198863982712276e-04
-1.826771653543307394e+00 -8.000000000000000000e+00 3.047004164696850634e-03 -3.195807205449173786e-04
-1.700787401574803681e+00 -8.000000000000000000e+00 2.888895084060053887e-03 -2.236851534415507223e-04
-1.574803149606299080e+00 -8.000000000000000000e+00 2.719308297765266579e-03 -1.234120231844264011e-04
-1.448818897637795367e+00 -8.000000000000000000e+00 2.538706002245760818e-03 -1.907220329662720270e-05
-1.322834645669291653e+00 -8.000000000000000000e+00 2.347622664963518874e-03 8.899254944857063030e-05
-1.196850393700787052e+00 -8.000000000000000000e+00 2.146663352431634701e-03 2.004113126811550322e-04
-1.070866141732283339e+00 -8.000000000000000000e+00 1.936501068469663510e-03 3.147858042017375813e-04
-9.448818897637796255e-01 -8.000000000000000000e+00 1.717873614072510258e-03 4.316928764839540592e-04
-8.188976377952759123e-01 -8.000000000000000000e+00 1.491579298779106312e-03 5.506868523269445835e-04
-6.929133858267721990e-01 -8.000000000000000000e+00 1.258472506480007736e-03 6.713028383124348009e-04
-5.669291338582675976e-01 -8.000000000000000000e+00 1.019457721204999672e-03 7.930592773351845867e-04
-4.409448818897638844e-01 -8.000000000000000000e+00 7.754844091055772184e-04 9.154624752001514973e-04
-3.149606299212601712e-01 -8.000000000000000000e+00 5.275393576361947934e-04 1.038008969557287740e-03
-1.889763779527555698e-01 -8.000000000000000000e+00 2.766495773296189669e-04 1.160201045633041861e-03
-6.299212598425185661e-02 -8.000000000000000000e+00 2.386511755648044572e-05 1.281539177970183021e-03
