x y Re(psi) Im(psi)
-8.000000000000000000e+00 -8.000000000000000000e+00 5.681060636999368602e-09 5.771642369191941473e-09
-7.874015748031496287e+00 -8.000000000000000000e+00 5.816042544923196458e-09 5.908776486862613350e-09
-7.748031496062992574e+00 -8.000000000000000000e+00 6.092516087899212834e-09 6.189658247431537782e-09
-7.622047244094487972e+00 -8.000000000000000000e+00 6.515486253626986240e-09 6.619372505848700498e-09
-7.496062992125984259e+00 -8.000000000000000000e+00 7.092632218792719252e-09 7.205720770002767051e-09
-7.370078740157480546e+00 -8.000000000000000000e+00 7.834344646204151601e-09 7.959259468226059056e-09
-7.244094488188975944e+00 -8.000000000000000000e+00 8.753818620094846106e-09 8.893394042963756537e-09
-7.118110236220472231e+00 -8.000000000000000000e+00 9.867143745876101255e-09 1.002447063057943499e-08
-6.992125984251968518e+00 -8.000000000000000000e+00 1.119343015152659029e-08 1.137190404555857203e-08
-6.866141732283464805e+00 -8.000000000000000000e+00 1.275492898507308704e-08 1.295830027229127166e-08
-6.740157480314961091e+00 -8.000000000000000000e+00 1.457718289289983979e-08 1.480960917815086894e-08
-6.614173228346456490e+00 -8.000000000000000000e+00 1.668916004690331734e-08 1.695526085663711845e-08
-6.488188976377952777e+00 -8.000000000000000000e+00 1.912341190919049858e-08 1.942832574466759418e-08
-6.362204724409449064e+00 -8.000000000000000000e+00 2.191619919467293682e-08 2.226564272153952102e-08
-6.236220472440944462e+00 -8.000000000000000000e+00 2.510763305277389912e-08 2.550796252992165274e-08
-6.110236220472440749e+00 -8.000000000000000000e+00 2.874176481132229406e-08 2.920003882089361203e-08
-5.984251968503937036e+00 -8.000000000000000000e+00 3.286667951141502082e-08 3.339072334973362933e-08
-5.858267716535433323e+00 -8.000000000000000000e+00 3.753451361347617713e-08 3.813298389294193375e-08
-5.732283464566929609e+00 -8.000000000000000000e+00 4.280146274554929683e-08 4.348391208440553539e-08
-5.606299212598425008e+00 -8.000000000000000000e+00 4.872768444875389622e-08 4.950462464624742489e-08
-5.480314960629921295e+00 -8.000000000000000000e+00 5.537717507215522261e-08 5.626013829248408304e-08
-5.354330708661417582e+00 -8.000000000000000000e+00 6.281750890143285983e-08 6.381910479206673333e-08
-5.228346456692912980e+00 -8.000000000000000000e+00 7.111953495256067397e-08 7.225350279655506407e-08
-5.102362204724409267e+00 -8.000000000000000000e+00 8.035690092472425581e-08 8.163815427482616170e-08
-4.976377952755905554e+00 -8.000000000000000000e+00 9.060552022555136436e-08 9.205018306222315528e-08
-4.850393700787401841e+00 -8.000000000000000000e+00 1.019428314252690484e-07 1.035682624227346511e-07
-4.724409448818898127e+00 -8.000000000000000000e+00 1.144469919404371227e-07 1.162717959888797792e-07
-4.598425196850393526e+00 -8.000000000000000000e+00 1.281958329534325588e-07 1.302398558555389683e-07
-4.472440944881889813e+00 -8.000000000000000000e+00 1.432657506132787474e-07 1.455500563577939111e-07
-4.346456692913386100e+00 -8.000000000000000000e+00 1.597303351392676608e-07 1.622771610515537533e-07
-4.220472440944881498e+00 -8.000000000000000000e+00 1.776589551084519397e-07 1.804916445309384144e-07
-4.094488188976377785e+00 -8.000000000000000000e+00 1.971150686521255412e-07 2.002579767149443113e-07
-3.968503937007874072e+00 -8.000000000000000000e+00 2.181545320925709140e-07 2.216329046026662772e-07
-3.842519685039370358e+00 -8.000000000000000000e+00 2.408236411793683663e-07 2.446634620662116459e-07
-3.716535433070866645e+00 -8.000000000000000000e+00 2.651572413787051723e-07 2.693850501857231928e-07
